"Capítol","Text_Capítol","Article","Text_Article","Concepte","Text_Concepte","Subconcepte","Text_Subconcepte","Orgànic","Text_Orgànic","Àrees","Text_Àrees","Política","Text_política","Grup_de_programes","Text_Grup_de_programes","Programes","Text_Programes","Subprogrames","Text_Subprogrames","PREV.INICIAL","MODIF.PREVISIÓ","PREV.DEFINITIVA","DRETS_RECONEGUTS","DRETS_ANUL./CANC.","DRETS_LIQUIDATS","RECAPTAT_LIQUIDAT"
"4","TRANSFERÈNCIES CORRENTS","45","DE COMUNITATS AUTÒNOMES","450","DE L'ADMINIST. GENERAL DE LA COMUNITAT A","45041","Subv. finalistes Generalitat per l'EAIA","0200","GER.DRETS SOCIALS.JUSTICIA GLOBAL. FEMIN","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","5.055.593,00","0,00","5.055.593,00","5149031.17","0,00","5149031.17","2761423.19"
"4","TRANSFERÈNCIES CORRENTS","45","DE COMUNITATS AUTÒNOMES","450","DE L'ADMINIST. GENERAL DE LA COMUNITAT A","45042","Aportació de Generalitat per a gent gran","0200","GER.DRETS SOCIALS.JUSTICIA GLOBAL. FEMIN","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","3.500.000,00","0,00","3.500.000,00","0,00","0,00","0,00","0,00"
"4","TRANSFERÈNCIES CORRENTS","45","DE COMUNITATS AUTÒNOMES","450","DE L'ADMINIST. GENERAL DE LA COMUNITAT A","45043","Aport. Generalitat conveni discapacitats","0200","GER.DRETS SOCIALS.JUSTICIA GLOBAL. FEMIN","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","1920057.34","0,00","1920057.34","819576.52","0,00","819576.52","58.900,00"
"4","TRANSFERÈNCIES CORRENTS","45","DE COMUNITATS AUTÒNOMES","450","DE L'ADMINIST. GENERAL DE LA COMUNITAT A","45044","Subv. finalistes Generalitat immigració","0200","GER.DRETS SOCIALS.JUSTICIA GLOBAL. FEMIN","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","1.130.462,00","0,00","1.130.462,00","302434.26","0,00","302434.26","302434.26"
"4","TRANSFERÈNCIES CORRENTS","45","DE COMUNITATS AUTÒNOMES","450","DE L'ADMINIST. GENERAL DE LA COMUNITAT A","45045","Subv. Generalitat per a SAD dependència","0200","GER.DRETS SOCIALS.JUSTICIA GLOBAL. FEMIN","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","31.000.000,00","0,00","31.000.000,00","13.950.000,00","0,00","13.950.000,00","0,00"
"4","TRANSFERÈNCIES CORRENTS","45","DE COMUNITATS AUTÒNOMES","450","DE L'ADMINIST. GENERAL DE LA COMUNITAT A","45047","Altres subv. Generalitat Conv. Marc S.S.","0200","GER.DRETS SOCIALS.JUSTICIA GLOBAL. FEMIN","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","80697.52","0,00","80697.52","97857.64","0,00","97857.64","21.195,00"
"4","TRANSFERÈNCIES CORRENTS","45","DE COMUNITATS AUTÒNOMES","450","DE L'ADMINIST. GENERAL DE LA COMUNITAT A","45048","Serveis Informació i atenció dones - SIA","0200","GER.DRETS SOCIALS.JUSTICIA GLOBAL. FEMIN","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","18.250,00","0,00","18.250,00","0,00","0,00","0,00","0,00"
"4","TRANSFERÈNCIES CORRENTS","45","DE COMUNITATS AUTÒNOMES","450","DE L'ADMINIST. GENERAL DE LA COMUNITAT A","45049","Generalitat-Desenvolupament comunitari","0800","GERÈNCIA CULTURA.EDUCACIÓ.CIÈNCIA I COMU","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","10,00","0,00","10,00","295893.62","0,00","295893.62","0,00"
"4","TRANSFERÈNCIES CORRENTS","45","DE COMUNITATS AUTÒNOMES","450","DE L'ADMINIST. GENERAL DE LA COMUNITAT A","45050","Trf.  En matèria de ocupació i desenv.local","0200","GER.DRETS SOCIALS.JUSTICIA GLOBAL. FEMIN","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","10,00","0,00","10,00","2.500,00","0,00","2.500,00","2.500,00"
"4","TRANSFERÈNCIES CORRENTS","45","DE COMUNITATS AUTÒNOMES","450","DE L'ADMINIST. GENERAL DE LA COMUNITAT A","45051","Subvencions fin. Generalitat (ocupació)","0705","GERÈNCIA DE RECURSOS","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","10,00","0,00","10,00","0,00","0,00","0,00","0,00"
